Ticker,Years_Count,Years_Data,Avg_RORE,Meets_12_Percent,Trend,Consistent,Qualifying_Years,Total_Years,RORE_2020,RORE_2021,RORE_2022,NetIncome_2020,NetIncome_2021,NetIncome_2022,BeginningRE_2020,BeginningRE_2021,BeginningRE_2022
DORM,3,"2020,2021,2022",0.14943077449655934,True,good,False,2,3,0.19663777979253258,0.1162306963268036,0.13542384737034183,133602000,83762000,106870000,679432000,720653000,789152000
TSCO,3,"2020,2021,2022",0.16672270819454682,True,strong,True,3,3,0.1656423125210998,0.15565457910730998,0.17887123295523072,532357000,562354000,748958000,3213895000,3612833000,4187135000
WDFC,3,"2020,2021,2022",0.1624592383767237,True,strong,True,3,3,0.1856570234523125,0.14946265305031278,0.1522580386275459,65215000,55908000,60710000,351266000,374060000,398731000
CLX,3,"2020,2021,2022",0.23915430155837922,True,excellent,True,3,3,0.23167679656775117,0.22253968253968254,0.26324642556770395,648000000,701000000,939000000,2797000000,3150000000,3567000000
LMT,3,"2020,2021,2022",0.32710843639671366,True,excellent,True,3,3,0.32694052092782167,0.338568556056736,0.3158162322055833,5046000000,6230000000,6833000000,15434000000,18401000000,21636000000
