Ticker,Recent_Years_Count,Recent_Years,All_Recent_Positive,Total_Years_Data,All_Data_Years,Trend,Avg_Growth_Rate,Is_Growing,Recent_Avg_FCF,Total_Avg_FCF,FCF_2018,FCF_2019,FCF_2020,FCF_2021,FCF_2022
DORM,3,"2020,2021,2022",True,5,"2018,2019,2020,2021,2022",strong_growth,0.19337871689205338,True,84756000.0,85107800,101480000,69791000,52006000,65746000,136516000
ORLY,3,"2020,2021,2022",True,5,"2018,2019,2020,2021,2022",strong_growth,0.32220788324216654,True,1558244333.3333333,1329369800,1034369000,937747000,1223287000,1080422000,2371024000
POOL,3,"2020,2021,2022",True,5,"2018,2019,2020,2021,2022",strong_growth,0.5355669074520811,True,242789666.66666666,199063200,131026000,135921000,87076000,265414000,375879000
TSCO,3,"2020,2021,2022",True,5,"2018,2019,2020,2021,2022",strong_growth,0.3173688731507675,True,703547666.6666666,583277200,424694000,381049000,415864000,594266000,1100513000
WDFC,3,"2020,2021,2022",True,5,"2018,2019,2020,2021,2022",moderate_growth,0.020888968046406796,True,51797333.333333336,50352400,60948000,35422000,52466000,49569000,53357000
CLX,3,"2020,2021,2022",True,5,"2018,2019,2020,2021,2022",strong_growth,0.2321310247721043,True,953333333.3333334,820000000,606000000,634000000,782000000,786000000,1292000000
EPAM,3,"2020,2021,2022",True,5,"2018,2019,2020,2021,2022",strong_growth,0.502745862254631,True,306134333.3333333,243863400,137900000,163014000,254644000,188145000,475614000
LMT,3,"2020,2021,2022",True,5,"2018,2019,2020,2021,2022",strong_growth,0.4673382071391547,True,4701333333.333333,4705800000,4126000000,5299000000,1860000000,5827000000,6417000000
