Ticker,EPS_2021,EPS_2022
BBDO,2.07,1.89
BBN,1.93,-6.64
BBU,1.743243,0.48
BBUC,0.486486,12.487049
BBVA,0.67,0.98
BBW,,2.93
BBWI,,4.88
BBY,,9.84
BC,7.57,9.0
BC^A,,
BC^C,,
BCAT,1.1,-2.81
BCC,17.97,21.56
BCE,2.99,2.98
BCH,2092.0,2862.0
BCO,2.1,3.57
BCS,1.464,1.192
BCSF,1.86,1.63
BCX,2.24,1.57
BDC,1.41,5.72
BDJ,1.75,-0.4
BDN,0.07,0.31
BDX,6.85,5.88
BE,-0.95,-1.62
BEDU,-0.20202,-0.689066
BEKE,-0.45,-1.17
BEN,3.57,2.53
BEP,-0.694798,-0.6
BEP^A,,
BEPC,5.493505,8.727306
BEPH,,
BEPI,,
BEPJ,,
BF/A,,
BF/B,,
BFAM,1.15,1.37
BFH,16.02,4.46
BFK,2.61,-1.89
BFLY,-0.19,-0.84
BFS,1.57,1.63
BFS^D,,
BFS^E,,
BFZ,0.91,-2.29
BG,13.64,10.51
BGB,1.14,-1.6
BGH,2.47,-2.35
BGR,3.05,4.02
BGS,1.02,-0.16
BGSF,1.35,2.354232
BGT,0.82,-0.26
BGX,1.31,-1.79
BGY,0.73,-0.62
BH,22.37,-21.49
BHC,-2.64,-0.62
BHE,0.99,1.91
BHK,0.07,-3.76
BHLB,2.39,2.02
BHP,4.46,12.186
BHR,-0.76,-0.15
BHR^B,,
BHR^D,,
BHV,0.9,
BHVN,-5.968203,-12.75
BILL,-1.19595,-3.22605
BIO,140.56,-121.79
BIO/B,,
BIP,1.16,0.14
BIP^A,,
BIP^B,,
BIPC,-3.340709,9.894393
BIPH,,
BIPI,,
BIPJ,,
BIRK,0.619921,0.996195
BIT,1.8,-1.84
BJ,,3.09
BK,4.14,2.9
BK^K,,
BKD,-0.54,-1.25
BKE,,5.16
BKH,3.74,3.97
BKKT,-106.122913,-203.08
BKN,2.61,-2.1
BKSY,-27.12,-5.04
BKT,-0.36,-2.81
BKU,4.52,3.54
