Ticker,EPS_2021,EPS_2022
APPF,0.03,-1.95
APPN,-1.25,-2.08
APPS,,0.35
APRE,-34.8,-67.99
APVO,-9881.960022,2555.960006
APWC,-0.19,0.19
APYX,-0.44,-0.67
AQB,-6.4,-6.2
AQMS,-5.2,-4.0
AQST,-1.85,-1.12
ARAI,-0.050929,-0.079678
ARAY,-0.07,-0.06
ARBB,0.718624,2.795544
ARBE,-2.64,-0.8
ARBEW,,
ARBK,0.998731,-4.73188
ARBKL,,
ARCB,7.98,11.69
ARCC,3.51,1.19
ARCT,-7.74,0.35
ARDX,-1.52,-0.42
AREB,-21551.038869,-7596.000001
AREBW,,
AREC,-0.59,-0.02
ARGX,-7.99,-13.05
ARHS,0.18,0.98
ARKO,0.42,0.53
ARKOW,,
ARKR,3.58,2.58
ARLP,1.36,4.39
ARM,0.378147,0.535059
AROW,2.922047,2.864078
ARQ,3.27,-0.48
ARQQ,-99.4225,13.3428
ARQQW,,
ARQT,-4.18,-5.66
ARRY,-0.51,-0.29
ARTL,-5.97,-3.56
ARTNA,1.79,1.9
ARTV,-7.672332,-6.236994
ARTW,0.05,0.02
ARVN,-3.82,-5.31
ARWR,-1.36,-1.67
ASBP,,-0.012979
ASBPW,,
ASLE,0.76,0.83
ASMB,-36.0,-23.04
ASML,14.34,16.07
ASND,-7.0,-10.4
ASNS,-4.298609,-9.45
ASO,,7.12
ASPC,,-0.013878
ASPCR,,
ASPCU,,
ASPI,,-0.18
ASPS,5.92,-26.56
ASPSW,,
ASPSZ,,
ASRT,-0.03,2.03
ASRV,0.41,0.43
ASST,0.00607,-0.236167
ASTC,-10.5,-5.1
ASTE,0.78,-0.004388
ASTH,1.63,1.08
ASTI,-25104.615063,-13200.0
ASTL,-0.679015,7.75
ASTLW,,
ASTS,-0.590614,-0.58
ASUR,0.16,-0.72
ASYS,0.11,1.22
ATAI,-1.21,-0.98
ATAT,0.893656,0.78
ATEC,-1.5,-1.47
ATER,-79.56,-35.4
ATEX,,-2.07
ATGL,-0.065402,-0.17757
ATHA,-1.49,-2.53
ATHE,-5.4,-3.18
ATHR,,-0.001267
ATII,,
ATIIU,,
ATIIW,,
ATLC,7.56,5.83
ATLCL,,
ATLCP,,
ATLCZ,,
ATLN,-20.4,-12.38
ATLO,2.62,2.14
ATLX,-0.75,-1.07
ATMC,,-0.000454
ATMCR,,
ATMCU,,
ATMCW,,
ATMV,,-0.16
ATMVR,,
ATNF,-246.24,-387.180005
ATNFW,,
ATNI,-1.52,-0.67
ATOM,-0.7,-0.75
ATOS,-0.18,-0.21
